"Id","SalePrice"
1461,97165.9438331159
1462,167827.965284782
1463,181792.491570745
1464,190534.690597952
1465,226530.86888081
1466,167535.596553141
1467,179028.695685154
1468,151072.446116247
1469,195768.478910437
1470,113616.882047517
1471,204414.26380355
1472,102946.840048144
1473,100162.71455915
1474,167388.281309086
1475,113279.304423678
1476,349099.36131589
1477,271354.236977048
1478,300301.606912804
1479,317120.121451957
1480,400151.167388747
1481,304140.539033491
1482,235268.178528792
1483,179474.516472681
1484,167762.297409729
1485,201628.37692291
1486,194163.416955927
1487,308632.233586848
1488,270493.691329022
1489,218487.477032753
1490,236615.538929321
1491,193596.307928553
1492,82672.1532372461
1493,185310.274675272
1494,313245.119834499
1495,312662.987274798
1496,257192.480792785
1497,216157.689783585
1498,201961.749339594
1499,215856.690925333
1500,192730.951003985
1501,213123.456405251
1502,200018.022303018
1503,271888.648422006
1504,256326.214994575
1505,238973.629916194
1506,193886.509165291
1507,243652.948512411
1508,201712.583433397
1509,165891.105940249
1510,140373.848114013
1511,146320.465161415
1512,174458.616196477
1513,168440.443525402
1514,167273.67417388
1515,199543.296371453
1516,157765.745536036
1517,167811.502871566
1518,135260.514423537
1519,224406.029341656
1520,132493.277665885
1521,130369.380500336
1522,177303.111032787
1523,92100.3022627909
1524,137043.844130919
1525,109067.589516399
1526,113269.361118536
1527,88924.7794908529
1528,129946.618733631
1529,137834.850907036
1530,160012.9219232
1531,92392.3335921551
1532,73974.9297044023
1533,164543.461165796
1534,146051.67711276
1535,153763.230475826
1536,102164.230265655
1537,52154.6507471027
1538,169671.376301818
1539,215557.874081989
1540,161402.589310399
1541,133577.590389452
1542,135388.886467207
1543,202872.18502064
1544,67272.0247322938
1545,128007.631129446
1546,141140.081929874
1547,116037.320017171
1548,137766.290043274
1549,113369.72684193
1550,141186.711007131
1551,120312.506892153
1552,130180.670527197
1553,131291.772910383
1554,105476.830072302
1555,147336.230380103
1556,132818.159878301
1557,124768.027504363
1558,113177.712805135
1559,106891.959261985
1560,137746.364728288
1561,138796.476670253
1562,132713.143069516
1563,111260.356882017
1564,168255.880591665
1565,151545.088422824
1566,216014.089277746
1567,63002.3708099186
1568,229554.542128834
1569,156215.071281494
1570,156658.985929626
1571,130503.160209078
1572,135857.523501364
1573,240246.126712763
1574,136321.230638823
1575,215915.160422742
1576,231894.826710563
1577,179995.615486832
1578,135269.156171681
1579,144080.099198212
1580,202383.858896151
1581,141462.178923128
1582,116051.404084174
1583,278879.639199778
1584,212884.038987744
1585,161282.307659026
1586,17447.4402178951
1587,94084.2427241419
1588,136332.06912536
1589,128336.876674551
1590,131911.692943497
1591,63146.034376766
1592,124517.449226901
1593,127654.221919216
1594,123824.98777409
1595,101874.189519129
